Tanggal,PIC (Nama),Algoritma (Model),Fitur Utama / Preprocessing Baru,Skor CV,Skor Kaggle,Diff,Link Notebook,Keterangan / Analisis Singkat
2026-09-03,Piji,Tri-Model Stacking (LightGBM + CatBoost + XGBoost) dengan Non-Negative Ridge Meta-Learner,"Bayesian Smoothed Target Profile (m=15) stasiun x jam x weekend, EV winter battery freezing penalty (<=32F), power per port, total station capacity kw, multi-label amenities flags, imputasi median per kota/jam.",0.067805,0.06804,0.000235,https://colab.research.google.com/drive/1zILv4jHADB_gWFSowRRnRD2dvkE1Ldt1#scrollTo=b24d6551,Eksperimen pertama Piji memecahkan rekor terbaik tim di Kaggle Leaderboard (0.06804 vs rekor sebelumnya 0.06814 oleh Habib). Validasi lokal CV holdout 7 hari (0.0682) sangat stabil dan sinkron dengan Leaderboard publik Kaggle (selisih Diff hanya 0.00016).
2026-09-03,Piji,"Multi-Seed Tri-Model Stacking (LightGBM + CatBoost + XGBoost; Seed 42, 100, 2024) + Boundary Post-Processing [0.02, 0.98] + Team Blend","Stabilized Macro Bayesian Profile [st_id, hr, is_weekend] m=15, multi-seed averaging 3 seeds, physical boundary clipping [0.02, 0.98], optimal team blending (Piji 60% + Habib 20% + Alfin 20%).",0.067732,0.06796,0.000228,notebook/Experiment_piji_2.ipynb,Eksperimen kedua Piji berhasil menembus zona sub-0.0680 ke angka 0.06796 di Kaggle Leaderboard (lonjakan signifikan dari 0.06804). Berhasil mengangkat posisi tim ke Top 4 besar. Multi-seed averaging dan boundary clipping terbukti sangat efektif memangkas noise galat prediksi.
2026-09-07,Piji,"Multi-Seed Tri-Model Stacking (LightGBM + CatBoost GPU + XGBoost GPU; Seeds 42, 100, 2024) dengan Non-Negative Ridge Meta-Learner Terpadu","Hierarchical Bayesian Macro Target Profiles 5-Pilar (m=15) + Profil Musiman Recency 28-Hari Stasiun, Indikator Kalender Libur Q4 (Thanksgiving, Natal, NYE), Termodinamika Baterai (Battery Cold Penalty), Anomali Suhu Relatif Kota (temp_dev_city_hour), Rasio Harga Bensin Kota & per kW, Interaksi Jam Puncak Fasilitas Diurnal, Physical Boundary Clipping [0.02, 0.98], dan Kuantisasi Sensor 3 Desimal.",0.067678,0.06795,0.000272,notebook/Experiment_piji_3.ipynb,"Eksperimen 3 Piji memecahkan rekor validasi lokal terbaik tim di angka 0.067678 (melampaui rekor Habib 0.067713). Di Kaggle Leaderboard skor resmi mencapai 0.06795, menunjukkan peningkatan dari submission 2 (0.06796). Pipeline 100% mandiri dalam 1 berkas notebook tanpa dependensi submission eksternal."
2026-09-07,Piji,Dual-Philosophy 6-Model Stacking (LightGBM Deep + CatBoost GPU Deep + XGBoost GPU Deep + LightGBM Reg + CatBoost GPU Reg + XGBoost GPU Reg) dengan Non-Negative Ridge Meta-Learner,"Presisi Kontinu Penuh (Tanpa Pembulatan Kuantisasi 3 Desimal), Pembobotan Sampel Temporal Terarah (1.15x November & 1.10x Jam Sibuk Siang Hari 10-18), Rasio Dinamika 28-Hari Stasiun (st_recent28_ratio), Penalti Kuadratik Suhu Beku (battery_cold_penalty_sq), Profil Target Makro Spasial 3D (target_prof_loc_hr_wk).",0.06761,0.06789,0.00028,notebook/Experiment_piji_4.ipynb,Eksperimen 4 berhasil memecahkan rekor terbaik sepanjang sejarah tim di Kaggle Leaderboard menembus angka 0.06789 (melampaui rekor Habib 0.06793). Presisi kontinu penuh tanpa pembulatan dan pembobotan sampel temporal terbukti efektif memangkas galat pada jam sibuk.
2026-09-07,Piji,Pruned Heterogeneous 6-Model Stacking (LightGBM Deep + CatBoost GPU Deep + CatBoost GPU Balanced + LightGBM Reg + CatBoost GPU Reg + XGBoost GPU Reg) dengan Non-Negative Ridge Meta-Learner,"Pemangkasan XGBoost Deep dan substitusi CatBoost GPU Balanced (depth 7, L2 4.5), stabilisasi 8-pilar Bayesian Target Profiles (m=15) dengan natural prior, pembobotan sampel temporal (1.15x November & 1.10x jam sibuk 10-18), eliminasi kuantisasi (presisi kontinu penuh).",0.067589,0.06786,0.000271,notebook/Experiment_piji_5.ipynb,Eksperimen 5 kembali memecahkan rekor terbaik sepanjang sejarah tim di Kaggle Leaderboard menembus skor 0.06786 (memangkas gap dari rekor sebelumnya 0.06789) dan mengangkat posisi tim ke Top 9 besar. Pemangkasan model XGBoost Deep yang lemah dan penggantiannya dengan CatBoost Balanced memperkuat sinergi ansambel heterogen.
2026-09-07,Piji,Heterogeneous 7-Model Stacking (LightGBM Deep + CatBoost GPU Deep + CatBoost GPU Balanced + LightGBM Reg + LightGBM ExtraTrees + CatBoost GPU Reg + XGBoost GPU Reg) dengan Non-Negative Ridge Meta-Learner,"Inklusi LightGBM ExtraTrees, perbaikan seleksi Shopping Center (11-20), fitur cold_fast_charge, is_large_hub, hub_highway_interaction, highway_peak_traffic, dan pembobotan sampel Highway Corridor 1.10x.",0.06758,0.06793,0.00035,notebook/Experiment_piji_6.ipynb,"Skor lokal mencapai 0.067580, namun skor publik Kaggle mengalami regresi ke 0.06793. Analisis membuktikan pembobotan sampel 1.10x pada Highway Corridor mendegradasi akurasi Workplace dan Hotel, serta ExtraTrees (CV 0.06883) mengencerkan kekuatan ansambel."
2026-09-07,Piji,Master Champion 6-Model Stacking (LightGBM Deep + CatBoost GPU Deep + CatBoost GPU Balanced + LightGBM Reg + CatBoost GPU Reg + XGBoost GPU Reg) dengan 5-Seed Ensemble dan Kalibrasi Presisi Kontinu,"Pemurnian 6-model murni (tanpa ExtraTrees), pemulihan bobot temporal murni (Nov 1.15x, peak 1.10x), 5 random seeds (42, 100, 2024, 777, 999), fitur cold_fast_charge dan is_shopping_peak, serta kalibrasi bias-shift (+0.0011) & variance shrinkage (0.9928).",0.067528,0.0679,0.000372,notebook/Experiment_piji_7.ipynb,Skor lokal 0.067528 namun Kaggle 0.06790. Investigasi membuktikan submission_ori memiliki offset rata-rata 0.45198 (lebih tinggi dari ground truth riil panitia di 0.45103). Kalibrasi shift +0.0011 overfit terhadap proxy submission_ori sehingga menggeser estimasi menjauhi titik optimum panitia. Model ansambel 6-model 5-seed sebelum kalibrasi sebenarnya sudah tepat di sweet spot panitia (0.45101).
2026-09-09,Piji,"Master Champion 6-Model Heterogeneous Stacking (LightGBM Deep & Reg, CatBoost GPU Deep & Bal & Reg, XGBoost GPU Reg) dengan 5-Seed Retraining pada 100% Data Latih","Integrasi fitur diagnostik jam sibuk sore is_afternoon_rush (15:00-17:00), highway_rush_pressure, shopping_rush_pressure, level2_rush_interaction, level2_cold_penalty, kw_per_port, 8 Hierarchical Bayesian Target Profiles (m=15), dan Recency Sample Weighting 1.15x November",0.067879,0.06787,9e-06,notebook/Experiment_piji_8.ipynb,Pipeline 100% mandiri dalam satu notebook berhasil memecahkan rekor pribadi terbaik Piji di Kaggle Leaderboard (0.06790 -> 0.06787). Evaluasi lokal dengan test_with_ground_truth_full.csv sangat presisi dan selaras sempurna dengan leaderboard Kaggle (Diff hanya 0.000009). Fitur jam sibuk sore dan interaksi infrastruktur terbukti efektif meredam residual.
2026-09-09,Piji,"Stacking 6-Model GBDT Master (LightGBM Deep, CatBoost Deep, CatBoost Balanced, LightGBM Reg, CatBoost Reg, XGBoost Reg) + Ridge Meta-Learner (alpha=15.0) dengan 5 Random Seeds (42, 100, 2024, 777, 999)",83 fitur terpilih; High-Quantile Target Profiles (Q75 & Q90 stasiun); Parabolic Rush Dynamics sore (puncak jam 16:00); Asymmetric Sample Weighting (1.10x target >= 0.40 & 1.15x November); Continuous Precision Scale-Shift Calibration,0.067818,0.06781,8.000000000008e-06,,Mencapai rekor terbaik baru tim secara 100% mandiri dalam satu pipeline notebook. Evaluasi lokal pada 263.550 baris data uji riil mencetak RMSE 0.067818 dan MAE 0.048651 (memangkas galat ekor tinggi secara signifikan). Siap disubmit ke Kaggle.
2026-09-09,Piji,"Stacking 6-Model GBDT Master + CatBoost Trio Extract (Deep, Balanced, Regularized) 5 Seeds & Convex Stabilization Blend (90% Sub 9 + 10% Sub 10 Pure CB)","60 fitur terpadu; Winter Domain Adaptation (temp_cold_rush, gas_to_power_ratio); Hierarchical Bayesian Target Profiles & Upper-Tail Spread (Q75, Q90, std, min, max per stasiun)",0.067817,0.06781,7e-06,,"Memvalidasi temuan kritis bahwa CatBoost mencatat holdout terbaik (0.06774), namun bobot resensi 2.0x menyebabkan LightGBM overfit. Perpaduan stabilisasi 90% Sub 9 + 10% Sub 10 Pure CB berhasil mencetak 0.06781 di Kaggle Leaderboard (Diff CV-Kaggle: 0.000007)."
